,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
1996-09-01,8301.4656978,8295.6630784,8372.97349,4719.0470467,4717.6794322,4742.953745,3582.4186511,3577.9836462,3630.019745,6253.3154572,6250.5630682,6273.93482,4181.7105636,4176.1467946,4187.689082,2071.6048936,2074.4162736,2086.245738,2048.1502406,2045.1000102,2099.03867,537.3364831,541.5326376,555.2646628,1510.8137575,1503.5673726,1543.774007,57.9731391,57.9258915,58.4657247,67.0392622,67.0104169,67.3694159,49.2074917,49.1417278,49.8564163,779.4651112,778.243486,785.3668098,451.0801651,449.6179864,454.3192225,328.3849461,328.6254997,331.0475873,613.0552578,618.9808431,615.404057,393.513585,397.4465585,398.0953372,219.5416729,221.5342846,217.3087198,166.4098533,159.2626429,169.9627527,57.5665801,52.1714278,56.2238853,108.8432732,107.0912151,113.7388675,8.5835376,8.5767192,8.5754273,8.7247402,8.7012214,8.7414924,8.3968662,8.4120394,8.357535,8.928374,9.0105086,8.9327012,8.6009684,8.6900283,8.681074,9.582175,9.6489136,9.4336263,7.5143526,7.2248839,7.4906411,9.676632,8.7874466,9.1945933,6.7201433,6.6489085,6.8620202,9080.930809,9073.9065644,9158.3403,5170.1272117,5167.2974186,5197.272967,3910.8035973,3906.6091459,3961.067333,63.4165199,63.3601102,63.9496833,73.4473529,73.3968383,73.8226141,53.7181313,53.6552266,54.4031812,5162.8257,1842.945033,3319.880667,14321.166,7040.218,7280.948
1996-10-01,8304.731749,8301.7578728,8319.388073,4718.7149021,4708.1719329,4720.948753,3586.0168468,3593.5859399,3598.439321,6251.9263599,6251.530312,6264.611372,4180.4481308,4175.6069703,4184.212812,2071.4782291,2075.9233417,2080.39856,2052.8053891,2050.2275608,2054.776701,538.2667713,532.5649626,536.7359406,1514.5386178,1517.6625982,1518.040761,57.9321526,57.9093075,58.0322878,66.9686254,66.8162446,66.9975675,49.196889,49.2991679,49.3657498,780.5587205,797.0099582,751.8673334,452.5191448,462.4831141,435.5433349,328.0395757,334.526844,316.3239985,613.8123733,624.900877,586.8553239,394.6133311,401.2277428,377.8851348,219.1990422,223.6731342,208.9701891,166.7463472,172.1090812,165.0120095,57.9058137,61.2553713,57.6582002,108.8405334,110.8537099,107.3538094,8.5914559,8.7595373,8.2884595,8.7506994,8.9443815,8.4465045,8.381064,8.516223,8.0802841,8.9402233,9.0875755,8.565397,8.6253121,8.7664897,8.2831438,9.5691805,9.7266254,9.1278519,7.5126137,7.7445099,7.4336809,9.712928,10.3154722,9.7003312,6.7045664,6.8070371,6.6047845,9085.2904695,9098.7678309,9071.255407,5171.2340469,5170.655047,5156.492088,3914.0564225,3928.112784,3914.763319,63.3771745,63.4688884,63.2769742,73.3908369,73.3795956,73.1786013,53.6972935,53.8884265,53.7052898,5264.536593,1889.955912,3374.580681,14335.792,7046.448,7289.344
1996-11-01,8310.8499982,8300.7028678,8314.369852,4719.5075908,4720.2668367,4714.628083,3591.3424075,3580.4360312,3599.741769,6250.1545274,6246.7792555,6240.421392,4180.4311783,4181.8483158,4177.96355,2069.723349,2064.9309397,2062.457843,2060.6954709,2053.9236123,2073.94846,539.0764124,538.4185209,536.6645335,1521.6190584,1515.5050914,1537.283926,57.9095459,57.8429545,57.9381921,66.9120296,66.9285168,66.8485651,49.2089219,49.0624329,49.3269779,781.4857089,768.2357509,722.8594813,453.6015788,447.7816682,423.5947921,327.8841301,320.4540827,299.2646892,614.5037449,607.5807536,576.8213739,395.4348409,392.5788675,375.377088,219.0689039,215.0018861,201.4442859,166.9819641,160.6549973,146.0381074,58.1667379,55.2028007,48.2177042,108.8152262,105.4521966,97.8204033,8.594994,8.4710657,7.9986847,8.7684517,8.6644246,8.2439941,8.3660418,8.2148964,7.6754089,8.9517019,8.86415,8.4612122,8.6417487,8.5820334,8.2439931,9.5713756,9.4301851,8.8981005,7.4957874,7.2544274,6.5783329,9.7392055,9.2993292,8.2440021,6.6740026,6.5055506,5.9825175,9092.3357072,9068.9386187,9037.229334,5173.1091696,5168.0485049,5138.222875,3919.2265376,3900.8901138,3899.006458,63.3548953,63.1963597,62.9753954,73.3430823,73.2775992,72.8547025,53.701622,53.4535899,53.4277783,5313.183667,1914.476125,3398.707542,14350.413,7052.699,7297.714
1996-12-01,8318.6653897,8324.3104443,8431.382046,4720.8358685,4725.2951324,4782.642629,3597.8295212,3599.015312,3648.739417,6247.6861169,6258.7626347,6366.022148,4180.3848891,4185.1280701,4246.996342,2067.3012278,2073.6345646,2119.025806,2070.9792728,2065.5478096,2065.359898,540.4509794,540.1670622,535.646287,1530.5282934,1525.3807474,1529.713611,57.8963197,57.9484013,58.6937637,66.8593513,66.9406334,67.7530436,49.2355612,49.2603831,49.940966,782.7472764,786.3348154,786.889119,454.7809255,451.7064507,451.9669034,327.9663509,334.6283647,334.9222155,615.7832813,609.6027519,611.7425712,396.3874591,390.3584869,387.8030649,219.3958222,219.244265,223.9395064,166.9639951,176.7320635,175.1465478,58.3934664,61.3479638,64.1638386,108.5705287,115.3840997,110.9827092,8.6002833,8.6309454,8.5361898,8.7869899,8.7252523,8.6342047,8.3541366,8.5068296,8.4073962,8.9718952,8.8755143,8.7670278,8.6608516,8.5315186,8.3672028,9.594442,9.5619647,9.5579523,7.4606,7.8818022,7.8172749,9.7510241,10.1989079,10.6973584,6.623794,7.0323362,6.7643663,9101.4126661,9110.6452598,9218.271165,5175.616794,5177.0015831,5234.609532,3925.7958721,3933.6436767,3983.661633,63.344091,63.4223496,64.1715708,73.3002356,73.339708,74.1558078,53.7237136,53.8405029,54.5251079,5146.767835,1824.324468,3322.443367,14365.039,7058.934,7306.105
1997-01-01,8325.9936876,8333.2867301,8235.213736,4722.0583601,4729.7044589,4714.152346,3603.9353274,3603.5822712,3521.06139,6243.8635093,6242.3792484,6264.251398,4179.0276775,4183.9837173,4193.225431,2064.8358318,2058.3955311,2071.025967,2082.1301782,2090.9074817,1970.962338,543.0306827,545.7207416,520.9269147,1539.0994956,1545.1867401,1450.035424,57.8784324,57.9338182,57.2520052,66.8023913,66.9165388,66.6965053,49.2568574,49.2556164,48.1276786,784.2856269,780.9373159,833.1217712,456.1256801,449.1196553,488.3166496,328.1599468,331.8176606,344.8051217,617.7260724,615.6805638,667.8744156,397.5791114,390.2786873,424.0235823,220.146961,225.4018765,243.8508332,166.5595545,165.2567521,165.2473557,58.5465687,58.8409679,64.2930673,108.0129858,106.4157842,100.9542884,8.6087989,8.5683357,9.187152,8.8086031,8.6722323,9.3862481,8.3456764,8.4316122,8.9192195,9.0026672,8.9774744,9.634482,8.6872028,8.5320573,9.1834679,9.6345129,9.8696091,10.5340739,7.4069602,7.3246774,7.73554,9.732178,9.7328307,10.9861367,6.5577176,6.4431837,6.5090237,9110.2793145,9114.224046,9068.335507,5178.1840402,5178.8241141,5202.468995,3932.0952743,3935.3999318,3865.866512,63.330421,63.3629702,63.0439486,73.2551464,73.2707483,73.6052795,53.74199,53.7910709,52.8406524,5315.813493,1865.596005,3450.217488,14384.149,7068.065,7316.084
1997-02-01,8331.4848746,8334.8781963,8291.38755,4722.8765529,4717.2553242,4704.049857,3608.6083217,3617.6228721,3587.337693,6239.2577905,6238.7205915,6245.975424,4176.2863416,4174.806947,4183.964435,2062.9714489,2063.9136445,2062.01099,2092.2270841,2096.1576048,2045.412126,546.5902113,542.4483772,520.0854222,1545.6368728,1553.7092276,1525.326704,57.8491016,57.8679939,57.5660439,66.7398543,66.6544677,66.4678754,49.2605591,49.3800421,48.9666537,785.0662472,794.5400375,886.8586258,457.1345971,462.0261705,502.6202277,327.9316501,332.513867,384.2383981,619.4379513,630.3859235,697.6675667,398.6463197,406.7884983,441.7969404,220.7916316,223.5974252,255.8706263,165.6282959,164.154114,189.1910591,58.4882774,55.2376723,60.8232874,107.1400185,108.9164417,128.3677718,8.6114391,8.7030741,9.6626154,8.8249732,8.9206615,9.6533911,8.330454,8.4177812,9.6747082,9.0314248,9.1771167,10.0475725,8.713709,8.878752,9.550794,9.6678869,9.7747035,11.038986,7.3356468,7.2624547,8.4664275,9.6662298,9.241921,10.4703693,6.4824248,6.5508697,7.7624842,9116.5511218,9129.4182338,9178.246176,5180.01115,5179.2814947,5206.670085,3936.5399718,3950.1367391,3971.576091,63.3001559,63.3843838,63.72339,73.1997091,73.1828632,73.569862,53.7371038,53.9188095,54.2114537,5225.014824,1870.507915,3354.506909,14403.261,7077.178,7326.083
1997-03-01,8333.4760466,8338.0228696,8347.487502,4722.8313605,4725.7346604,4727.658506,3610.6446862,3612.2882092,3619.828996,6233.8163349,6234.8114243,6218.296766,4172.3786955,4176.1870026,4168.241442,2061.4376394,2058.6244217,2050.055324,2099.6597118,2103.2114453,2129.190737,550.452665,549.5476578,559.4170641,1549.2070468,1553.6637875,1569.773672,57.7996361,57.8131215,57.8787462,66.6690162,66.6882105,66.7153592,49.2324474,49.2401739,49.3429646,784.8351726,783.7957132,823.7247357,457.4535856,464.0054946,477.0590438,327.381587,319.7902186,346.6656919,620.4351399,621.6525784,636.8033747,399.3921806,404.6992924,409.4074852,221.0429593,216.953286,227.3958895,164.4000327,162.1431348,186.9213611,58.061405,59.3062022,67.6515586,106.3386276,102.8369326,119.2698025,8.6072427,8.5925378,8.9816342,8.8306645,8.9408233,9.1658969,8.3133419,8.1328545,8.7398501,9.0518293,9.0666644,9.2894832,8.7360498,8.8345195,8.9436191,9.6843303,9.5339871,9.9846657,7.2612939,7.1575168,8.0704799,9.5415058,9.7406301,10.7885415,6.4231769,6.2080826,7.0613814,9118.3112192,9121.8185828,9171.212238,5180.2849461,5189.740155,5204.71755,3938.0262732,3932.0784278,3966.494688,63.2431253,63.2477044,63.5901839,73.1265791,73.2361228,73.4474795,53.6964138,53.5993294,54.0684677,5251.158762,1881.59445,3369.564312,14422.371,7086.312,7336.059
1997-04-01,8333.3208179,8330.9260355,8343.062501,4722.3051728,4719.8223302,4726.92543,3611.015645,3611.1037053,3616.137071,6229.4908871,6226.5667497,6208.410048,4168.7882513,4163.9259367,4158.478174,2060.7026358,2062.640813,2049.931874,2103.8299307,2104.3592858,2134.652452,553.5169215,555.8963935,568.4472551,1550.3130092,1548.4628923,1566.205197,57.7409847,57.7198032,57.8038892,66.5974447,66.5566701,66.6568346,49.1868465,49.1844711,49.2530273,783.2073441,780.7303897,785.1125851,456.6528927,455.9544422,453.4847408,326.5544514,324.7759475,331.6278443,619.9658844,617.8411659,615.5348998,399.2484055,395.7786682,391.1780074,220.7174789,222.0624978,224.3568924,163.2414597,162.8892238,169.5776853,57.4044871,60.175774,62.3067334,105.8369726,102.7134498,107.2709519,8.5910703,8.5684792,8.6009808,8.8174665,8.8093916,8.7538385,8.2932987,8.2516737,8.4003949,9.0513147,9.0269483,9.0202208,8.7400438,8.679919,8.5979685,9.6745653,9.7195332,9.8649255,7.2005434,7.1844451,7.3594075,9.3963784,9.7676502,9.8781355,6.3905427,6.2206227,6.4100676,9116.528162,9111.6564252,9128.175086,5178.9580655,5175.7767723,5180.41017,3937.5700965,3935.8796529,3947.764915,63.1677724,63.1289983,63.2434459,73.037502,72.9863209,73.0516588,53.6349534,53.6080309,53.7699123,5305.217914,1911.02383,3394.194085,14433.393,7091.434,7341.959
1997-05-01,8332.8995748,8334.9049006,8330.18644,4721.8914289,4724.2377734,4718.255854,3611.0081459,3610.6671271,3611.930586,6227.1288517,6235.5391115,6202.974808,4166.8248296,4167.4924502,4153.927969,2060.3040221,2068.0466613,2049.046839,2105.7707231,2099.3657891,2127.211632,555.0665993,556.7453232,564.3278853,1550.7041237,1542.6204659,1562.883747,57.685647,57.7033014,57.6706351,66.5332215,66.5709362,66.4866428,49.1406133,49.1389698,49.1561647,779.4454064,779.0342296,774.9469481,454.2983523,451.7434656,449.7292176,325.1470541,327.290764,325.2177304,617.507573,612.8858709,609.0268716,397.5919556,396.8729622,395.3646484,219.9156174,216.0129086,213.6622232,161.9378334,166.1483588,165.9200765,56.7063967,54.8705034,54.3645692,105.2314367,111.2778554,111.5555073,8.5537302,8.5477225,8.5110993,8.7766943,8.7276875,8.7022159,8.2605242,8.3111799,8.2602357,9.0217732,8.9492967,8.940498,8.7106847,8.6950304,8.6906841,9.6444927,9.4574113,9.4427616,7.1410338,7.3338036,7.2355232,9.2691892,8.9714002,8.7870102,6.3548026,6.7282162,6.6622606,9112.3449812,9113.9391302,9105.133388,5176.1897812,5175.9812391,5167.985072,3936.1551999,3937.9578911,3937.148317,63.0814653,63.0966259,63.035663,72.9344557,72.9366161,72.8239392,53.5653958,53.5931968,53.582179,5339.282612,1928.561929,3410.720683,14444.416,7096.547,7347.869
1997-06-01,8335.9111535,8336.1728285,8345.585772,4723.3011546,4732.74352,4731.940121,3612.6099989,3603.4293085,3613.645651,6228.2779932,6220.8172937,6187.27372,4167.7608921,4170.7232661,4155.807409,2060.5171011,2050.0940276,2031.466311,2107.6331603,2115.3555349,2158.312052,555.5402625,562.0202539,576.1327123,1552.0928978,1553.3352809,1582.17934,57.6567708,57.668075,57.733192,66.4978431,66.6426468,66.631334,49.1185484,49.0011552,49.1400819,773.329918,757.6194001,735.2092682,450.4543976,439.1222734,427.5022884,322.8755204,318.4971267,307.7069798,613.3503465,601.0750545,587.2598261,394.5417987,383.4923869,376.8565157,218.8085477,217.5826676,210.4033104,159.9795715,156.5443457,147.9494421,55.9125988,55.6298866,50.6457727,104.0669727,100.9144591,97.3036694,8.4895098,8.3311712,8.0963095,8.7065265,8.4905968,8.2858234,8.2042106,8.1209358,7.8469602,8.9649761,8.8109724,8.6686385,8.6478655,8.4206023,8.3142391,9.5997054,9.5949598,9.3851716,7.0549777,6.8904597,6.41512,9.1442207,9.0066986,8.0803304,6.2836309,6.1003159,5.793668,9109.2410714,9093.7922287,9080.795041,5173.7555522,5171.8657934,5159.442409,3935.4855193,3921.9264352,3921.352631,63.0056409,62.9091435,62.8192314,72.8396462,72.8260097,72.6510737,53.5084983,53.3322314,53.3244286,5374.642959,1942.231591,3432.411369,14455.438,7101.674,7353.764
1997-07-01,8345.115962,8347.0339725,8374.861974,4727.4427284,4724.8826651,4739.65225,3617.6732336,3622.1513074,3635.209724,6233.4007241,6240.899362,6276.483557,4171.5407981,4174.1931507,4192.034897,2061.8599259,2066.7062114,2084.44866,2111.7152379,2106.1346104,2098.378417,555.9019302,550.6895144,547.617353,1555.8133076,1555.445096,1550.761064,57.6709658,57.6869299,57.8792511,66.5015876,66.4689851,66.6767615,49.1434613,49.2063974,49.3837941,765.813881,784.3694951,731.4210942,446.0912713,464.1377748,435.7254792,319.7226097,320.2317203,295.695615,608.4557848,625.5733346,588.2103264,390.7365055,408.6272065,386.9764213,217.7192793,216.9461281,201.2339051,157.3580962,158.7961605,143.2107678,55.3547657,55.5105683,48.7490579,102.0033304,103.2855922,94.4617099,8.4054415,8.5898022,8.0320487,8.6225638,8.9446126,8.4192015,8.1201541,8.1227957,7.5223286,8.8931386,9.1105486,8.5686316,8.5645058,8.9165006,8.4510912,9.5508539,9.499963,8.8041055,6.9349057,7.0110823,6.3888053,9.0558952,9.1571364,8.1743467,6.1528717,6.2267849,5.7415756,9110.9298429,9131.4034676,9106.283069,5173.5339997,5189.0204399,5175.377729,3937.3958433,3942.3830277,3930.905339,62.96331,63.1077618,62.934153,72.776815,72.99841,72.8064863,53.4866606,53.5566986,53.4007759,5363.257931,1933.024271,3430.233661,14469.541,7108.402,7361.139
1997-08-01,8360.3617824,8333.6397905,8250.306053,4734.8675021,4721.4131384,4681.442159,3625.4942803,3612.2266521,3568.863894,6241.9635538,6222.4925829,6143.809838,4177.8956234,4165.7502323,4120.813922,2064.0679303,2056.7423506,2022.995916,2118.3982287,2111.1472076,2106.496214,556.9718787,555.6629061,560.6282364,1561.42635,1555.4843015,1545.867978,57.7253691,57.538281,56.9629166,66.5504565,66.3575752,65.795799,49.2040185,49.0223112,48.4338259,757.2793542,770.7092971,743.4329501,441.6449642,445.3838592,432.9222825,315.63439,325.3254378,310.5106676,603.1292679,611.9963147,594.3901812,386.6133137,391.7635835,384.9877404,216.5159542,220.2327312,209.4024407,154.1500863,158.7129824,149.042769,55.0316505,53.6202758,47.9345421,99.1184358,105.0927066,101.1082269,8.3056499,8.4652872,8.2661166,8.5317087,8.6201153,8.4648305,8.0087309,8.262124,8.0041425,8.8111189,8.9545294,8.8212012,8.469987,8.5959933,8.5442674,9.4938825,9.6721626,9.3801557,6.7831379,6.992192,6.607856,8.9920479,8.8005508,7.8766799,5.9690312,6.3286861,6.1390217,9117.6411367,9104.3490875,8993.739003,5176.5124663,5166.7969977,5114.364441,3941.1286703,3937.5520899,3879.374561,62.9541177,62.8595199,62.0958303,72.7579531,72.6172673,71.8803487,53.4877049,53.4373733,52.6478335,5489.904997,2000.743559,3489.161439,14483.644,7115.108,7368.536
1997-09-01,8379.8529607,8395.8772461,8473.995632,4745.4655481,4746.1263446,4771.152912,3634.3874126,3649.7509015,3702.842719,6252.9797865,6266.2729895,6290.69097,4186.033515,4191.8642582,4204.336035,2066.9462716,2074.4087313,2086.354935,2126.8731742,2129.6042567,2183.304662,559.4320332,554.2620864,566.8168775,1567.441141,1575.3421702,1616.487784,57.8067037,57.9116,58.4504312,66.6419738,66.6418652,66.9932712,49.2764809,49.4820557,50.2018561,748.1840928,736.8427121,744.6723833,437.2263377,436.6784635,442.768659,310.957755,300.1642486,301.9037243,596.9956083,590.5872584,588.4290927,382.1240082,379.4001548,380.8074068,214.8716001,211.1871037,207.621686,151.1884845,146.2554537,156.2432906,55.1023296,57.2783088,61.9612523,96.0861549,88.9771449,94.2820383,8.1965497,8.0681628,8.077874,8.4362788,8.425524,8.4920468,7.8816363,7.5992581,7.5386477,8.7152957,8.6130858,8.5538425,8.3649481,8.2996764,8.3052452,9.416685,9.2399146,9.0507324,6.6367161,6.4263827,6.6783538,8.9665172,9.3662347,9.8542315,5.7760492,5.3461583,5.5110885,9128.0370534,9132.7199582,9218.668015,5182.6918858,5182.8048082,5213.921571,3945.3451676,3949.91515,4004.746444,62.9678988,62.9940635,63.5869009,72.7820724,72.773406,73.2103263,53.4925707,53.5515783,54.294962,5279.078985,1907.917429,3371.161556,14497.747,7121.839,7375.908
1997-10-01,8400.1292508,8388.9354832,8405.240341,4758.0424481,4754.8770511,4766.431632,3642.0868027,3634.0584321,3638.808709,6264.3335613,6256.7648207,6267.198149,4194.6930009,4193.9177174,4200.815815,2069.6405604,2062.8471033,2066.382334,2135.7956895,2132.1706624,2138.042192,563.3494472,560.9593337,565.6158171,1572.4462423,1571.2113287,1572.426375,57.8900194,57.8100543,57.9224147,66.7577759,66.7090883,66.8711946,49.3295067,49.219142,49.283479,739.189856,732.7735292,692.0659114,432.9662456,428.3116747,403.4458891,306.2236104,304.4618545,288.6200223,590.5395317,589.313723,554.4933171,377.5158393,375.5921724,354.031214,213.0236923,213.7215506,200.462103,148.6503243,143.4598062,137.5725944,55.4504062,52.7195023,49.4146751,93.1999181,90.7403039,88.1579193,8.0880189,8.0332921,7.6073718,8.3406958,8.2634783,7.8037804,7.755814,7.7303615,7.348829,8.6148864,8.6080479,8.1283846,8.2567497,8.2195286,7.7726258,9.3322394,9.3878808,8.8432228,6.5070623,6.3041785,6.0455133,8.9609598,8.5907317,8.0345082,5.5954212,5.4598643,5.3088494,9139.3191068,9121.7090124,9097.306253,5191.0086937,5183.1887258,5169.877521,3948.3104131,3938.5202866,3927.428732,62.9841928,62.8597626,62.6915977,72.8325144,72.7181356,72.5313845,53.4770903,53.3427276,53.1925053,5413.898747,1957.902479,3455.996268,14511.205,7127.78,7383.425
1997-11-01,8418.5088431,8447.2568038,8462.084729,4770.7315391,4789.4951955,4783.912643,3647.7773039,3657.7616083,3678.172086,6274.9717117,6288.8420523,6283.811929,4202.9900747,4211.3061266,4207.537767,2071.981637,2077.5359258,2076.274162,2143.5371314,2158.4147515,2178.272799,567.7414645,578.1890689,576.3748761,1575.7956669,1580.2256825,1601.897923,57.9557263,58.1580187,58.2601066,66.8697034,67.1390144,67.0607583,49.351673,49.4896351,49.7657895,731.5478621,733.2803958,690.7709965,429.2123386,430.7844443,408.2572623,302.3355235,302.4959515,282.5137342,584.8921782,585.1207974,556.4788128,373.6528717,374.5125255,358.7800077,211.2393066,210.6082718,197.6988051,146.6556839,148.1595985,134.2921836,55.5594669,56.2719188,49.4772546,91.096217,91.8876797,84.8149291,7.9950091,7.9873365,7.5470544,8.2541725,8.2521335,7.8629411,7.6538453,7.6382899,7.1329499,8.5262942,8.5121321,8.1353094,8.164344,8.1667539,7.8570968,9.2518119,9.2043269,8.6939822,6.4036392,6.4233611,5.8070664,8.9137468,8.8692481,7.9055822,5.4650345,5.495302,5.0284154,9150.0567052,9180.5371996,9152.855725,5199.9438777,5220.2796399,5192.169906,3950.1128274,3960.2575598,3960.68582,62.9919374,63.2065375,63.015955,72.8858251,73.1777391,72.7836976,53.4420443,53.5824153,53.5882097,5371.808275,1941.529094,3430.27918,14524.664,7133.699,7390.965
1997-12-01,8433.5876641,8432.7882102,8540.480651,4781.7745794,4781.5891431,4839.900082,3651.8130847,3651.1990671,3700.580568,6283.8053401,6270.774075,6379.363123,4210.1164964,4197.62321,4260.603091,2073.6888437,2073.150865,2118.760032,2149.782324,2162.0141352,2161.117528,571.658083,583.9659331,579.2969916,1578.124241,1578.0482021,1581.820536,57.9935422,58.0046598,58.7454188,66.9516444,66.9724124,67.7891334,49.3477533,49.3506515,50.018106,725.6142245,724.4005434,720.4636632,426.2369326,424.4998724,421.3177116,299.3772919,299.9006711,299.1459515,580.8761648,578.2672379,575.7409155,371.0998727,367.143513,361.7075377,209.776292,211.1237249,214.0333778,144.7380597,146.1333055,144.7227477,55.1370599,57.3563594,59.6101739,89.6009999,88.7769461,85.1125737,7.9222429,7.9107307,7.7795918,8.1842548,8.1539111,8.0079884,7.5768886,7.5903088,7.4791601,8.4618079,8.4430391,8.2779627,8.100466,8.0429852,7.8252538,9.1867526,9.2424845,9.1749821,6.3079875,6.3311946,6.2763561,8.7966635,8.9434532,9.3300212,5.3726476,5.3261103,5.1059382,9159.2018886,9157.1887536,9260.944314,5208.0115119,5206.0890155,5261.217794,3951.1903766,3951.0997381,3999.72652,62.9832264,62.9874254,63.7011047,72.9195676,72.9180885,73.6902392,53.3933045,53.4041948,54.0614483,5277.177686,1878.422206,3398.75548,14538.122,7139.64,7398.482
1998-01-01,8445.2131313,8439.0628319,8334.725487,4789.6094105,4791.9428865,4771.510097,3655.6037208,3647.1199454,3563.21539,6289.5131811,6292.0431581,6306.12598,4214.8815783,4222.8996564,4228.518805,2074.6316028,2069.1435017,2077.607175,2155.6999502,2147.0196738,2028.599507,574.7278322,569.0432301,542.9912921,1580.972118,1577.9764436,1485.608215,58.0039615,57.9660466,57.2493766,66.9831909,67.0217644,66.7359843,49.3384065,49.2268646,48.094366,721.5836962,720.5114024,770.0699041,424.3926964,414.693579,451.1575585,297.1909998,305.8178234,318.9123456,578.9471874,579.7849888,630.3207797,370.1640152,367.5779256,400.0912181,208.7831723,212.2070632,230.2295616,142.6365088,140.7264136,139.7491244,54.2286812,47.1156534,51.0663404,88.4078275,93.6107602,88.6827841,7.8717104,7.8662106,8.4578496,8.1394807,7.9647116,8.6384505,7.5185033,7.7364695,8.2148854,8.4290679,8.4371288,9.0870845,8.0732897,8.0074005,8.643874,9.1434624,9.3018174,9.97599,6.2060761,6.1513126,6.4449564,8.622008,7.6466727,8.596193,5.2958482,5.6001123,5.6331888,9166.7968274,9159.5742342,9104.795391,5214.0021068,5206.6364655,5222.667655,3952.7947206,3952.9377688,3882.127736,62.9599895,62.9150793,62.5388156,72.9183674,72.8218117,73.0460294,53.3494896,53.3546292,52.3988735,5453.835609,1927.163345,3526.672264,14558.631,7149.831,7408.8
